Age,Age_Showing,5th_centile,25th_centile,50th_centile,75th_centile,95th_centile,CI_low_5th,CI_high_5th,CI_low_25th,CI_high_25th,CI_low_50th,CI_high_50th,CI_low_75th,CI_high_75th,CI_low_95th,CI_high_95th
-0.2,32 week,0.50191,0.58349,0.62845,0.66753,0.71892,0.49533,0.50828,0.57743,0.58915,0.62242,0.63398,0.66148,0.67305,0.71297,0.72456
-0.1,36 week,0.50272,0.58398,0.62878,0.6677,0.71889,0.4962,0.50906,0.57796,0.58961,0.6228,0.63426,0.66168,0.67318,0.71296,0.7245
0,0,0.50406,0.5848,0.62931,0.66798,0.71884,0.49766,0.51034,0.57886,0.59037,0.6234,0.63473,0.662,0.6734,0.71295,0.7244
0.1,0.1,0.50539,0.58562,0.62984,0.66826,0.7188,0.49905,0.51166,0.57973,0.59112,0.62397,0.6352,0.66233,0.67363,0.71295,0.72429
0.2,0.2,0.50671,0.58642,0.63036,0.66855,0.71876,0.50042,0.51291,0.5806,0.59187,0.62455,0.63566,0.66271,0.67385,0.71295,0.72422
0.3,0.3,0.50801,0.58722,0.63089,0.66883,0.71873,0.50182,0.51413,0.58146,0.59261,0.62514,0.63612,0.66308,0.67406,0.71299,0.72414
0.4,0.4,0.50931,0.58802,0.63141,0.66911,0.7187,0.50317,0.51534,0.58231,0.59335,0.62572,0.63657,0.66343,0.67428,0.71302,0.72406
0.5,0.5,0.51059,0.58881,0.63193,0.66939,0.71867,0.50453,0.51657,0.58315,0.59408,0.6263,0.63703,0.66377,0.67449,0.71305,0.72398
0.6,0.6,0.51186,0.58959,0.63244,0.66967,0.71865,0.50588,0.51779,0.584,0.5948,0.62686,0.63748,0.66412,0.67471,0.71311,0.7239
0.7,0.7,0.51312,0.59037,0.63295,0.66996,0.71862,0.50721,0.51898,0.58485,0.59552,0.62737,0.63793,0.66446,0.67495,0.71317,0.72381
0.8,0.8,0.51436,0.59114,0.63346,0.67024,0.7186,0.50853,0.52018,0.58568,0.59624,0.62792,0.63837,0.6648,0.67516,0.71322,0.72372
0.9,0.9,0.5156,0.5919,0.63397,0.67052,0.71859,0.50984,0.52135,0.58649,0.59694,0.62848,0.63882,0.66513,0.6754,0.71327,0.72364
1,1,0.51682,0.59266,0.63447,0.6708,0.71858,0.51114,0.52253,0.5873,0.59765,0.62906,0.63926,0.66547,0.67564,0.71333,0.72357
1.1,1.1,0.51804,0.59342,0.63497,0.67108,0.71857,0.51242,0.5237,0.5881,0.59833,0.62963,0.63971,0.6658,0.67587,0.71339,0.72349
1.2,1.2,0.51924,0.59417,0.63547,0.67136,0.71856,0.51368,0.52486,0.5889,0.59903,0.6302,0.64016,0.66613,0.67609,0.7134,0.72342
