Age,Age_Showing,Growth_Rate,CI_low,CI_high
-0.2,32 week,0.22497,0.041939,0.39327
-0.1,36 week,0.22523,0.043178,0.39257
0,0,0.22551,0.044549,0.39178
0.1,0.1,0.2258,0.045912,0.39099
0.2,0.2,0.22607,0.047268,0.3902
0.3,0.3,0.22635,0.048617,0.38942
0.4,0.4,0.22662,0.049959,0.38862
0.5,0.5,0.22688,0.051293,0.38783
0.6,0.6,0.22715,0.052729,0.38704
0.7,0.7,0.2274,0.054266,0.38624
0.8,0.8,0.22766,0.055795,0.38559
0.9,0.9,0.22791,0.057316,0.38496
1,1,0.22815,0.058829,0.38433
1.1,1.1,0.22839,0.060334,0.3837
1.2,1.2,0.22863,0.061831,0.38306
1.3,1.3,0.22886,0.06332,0.38243
1.4,1.4,0.22909,0.064583,0.38179
1.5,1.5,0.22931,0.065747,0.38115
1.6,1.6,0.22953,0.066905,0.3805
1.7,1.7,0.22975,0.068055,0.37986
1.8,1.8,0.22996,0.069199,0.37921
1.9,1.9,0.23017,0.070336,0.37856
2,2,0.23037,0.071466,0.37787
2.1,2.1,0.23057,0.072589,0.37705
2.2,2.2,0.23077,0.073706,0.37622
2.3,2.3,0.23096,0.074981,0.37539
2.4,2.4,0.23114,0.076377,0.37456
2.5,2.5,0.23133,0.077765,0.37373
2.6,2.6,0.2315,0.079146,0.37289
2.7,2.7,0.23168,0.080518,0.37206
2.8,2.8,0.23185,0.081883,0.37125
2.9,2.9,0.23201,0.08324,0.3708
3,3,0.23217,0.084534,0.37034
3.1,3.1,0.23233,0.085646,0.36963
3.2,3.2,0.23248,0.086751,0.36873
3.3,3.3,0.23263,0.087849,0.36784
3.4,3.4,0.23277,0.08894,0.36694
3.5,3.5,0.23291,0.090024,0.36604
3.6,3.6,0.23304,0.0911,0.36531
3.7,3.7,0.23317,0.092169,0.3646
3.8,3.8,0.2333,0.093231,0.3639
3.9,3.9,0.23342,0.094285,0.36319
4,4,0.23354,0.095526,0.36249
4.1,4.1,0.23365,0.096836,0.36158
4.2,4.2,0.23376,0.098228,0.3606
4.3,4.3,0.23386,0.099638,0.35963
4.4,4.4,0.23396,0.10104,0.35866
4.5,4.5,0.23406,0.10243,0.35769
4.6,4.6,0.23415,0.10381,0.35671
4.7,4.7,0.23423,0.10519,0.35574
4.8,4.8,0.23431,0.10655,0.35498
4.9,4.9,0.23439,0.10791,0.35437
5,5,0.23446,0.10925,0.35376
5.1,5.1,0.23453,0.11052,0.35315
5.2,5.2,0.2346,0.11157,0.35253
5.3,5.3,0.23465,0.11262,0.35192
5.4,5.4,0.23471,0.11366,0.35129
5.5,5.5,0.23476,0.11469,0.35059
5.6,5.6,0.23481,0.11571,0.34946
5.7,5.7,0.23485,0.11672,0.34833
5.8,5.8,0.23488,0.11777,0.3472
5.9,5.9,0.23492,0.1188,0.34607
6,6,0.23494,0.11975,0.34494
6.1,6.1,0.23497,0.12069,0.34387
6.2,6.2,0.23498,0.12167,0.34321
6.3,6.3,0.235,0.1226,0.34255
6.4,6.4,0.23501,0.12346,0.34188
6.5,6.5,0.23501,0.12437,0.34121
6.6,6.6,0.23501,0.12527,0.34054
6.7,6.7,0.23501,0.12616,0.33987
6.8,6.8,0.235,0.12704,0.33919
6.9,6.9,0.23499,0.12792,0.33851
7,7,0.23497,0.12878,0.33783
7.1,7.1,0.23495,0.12964,0.33673
7.2,7.2,0.23492,0.1305,0.33561
7.3,7.3,0.23489,0.13134,0.33449
7.4,7.4,0.23485,0.13217,0.33337
7.5,7.5,0.23481,0.13295,0.33225
7.6,7.6,0.23477,0.13374,0.33112
7.7,7.7,0.23471,0.13463,0.33
7.8,7.8,0.23466,0.13543,0.32893
7.9,7.9,0.2346,0.13623,0.32832
8,8,0.23454,0.13701,0.32757
8.1,8.1,0.23447,0.13788,0.32701
8.2,8.2,0.23439,0.13876,0.32647
8.3,8.3,0.23432,0.13964,0.32573
8.4,8.4,0.23423,0.14051,0.32476
8.5,8.5,0.23415,0.14136,0.32379
8.6,8.6,0.23406,0.14222,0.32313
8.7,8.7,0.23396,0.14306,0.32252
8.8,8.8,0.23386,0.14389,0.32202
8.9,8.9,0.23375,0.14472,0.32158
9,9,0.23364,0.14554,0.32113
9.1,9.1,0.23353,0.14634,0.32068
9.2,9.2,0.23341,0.14715,0.31986
9.3,9.3,0.23328,0.14794,0.31891
9.4,9.4,0.23315,0.14873,0.31804
9.5,9.5,0.23302,0.14951,0.31752
9.6,9.6,0.23288,0.15025,0.31688
9.7,9.7,0.23274,0.15077,0.31601
9.8,9.8,0.23259,0.15127,0.31493
9.9,9.9,0.23244,0.15194,0.31426
10,10,0.23228,0.15252,0.31365
10.1,10.1,0.23212,0.15307,0.31304
10.2,10.2,0.23195,0.15361,0.31242
10.3,10.3,0.23178,0.15414,0.31133
10.4,10.4,0.2316,0.15467,0.31019
10.5,10.5,0.23142,0.15518,0.30904
10.6,10.6,0.23123,0.1557,0.30816
10.7,10.7,0.23104,0.15621,0.30712
10.8,10.8,0.23085,0.15691,0.30601
10.9,10.9,0.23065,0.15731,0.30523
11,11,0.23044,0.15769,0.3046
11.1,11.1,0.23024,0.15824,0.30402
11.2,11.2,0.23002,0.15889,0.30312
11.3,11.3,0.2298,0.15929,0.30209
11.4,11.4,0.22958,0.15975,0.3013
11.5,11.5,0.22935,0.16008,0.3003
11.6,11.6,0.22912,0.16043,0.29919
11.7,11.7,0.22888,0.16084,0.29816
11.8,11.8,0.22864,0.16129,0.29717
11.9,11.9,0.22839,0.16171,0.29617
12,12,0.22814,0.16201,0.29542
12.1,12.1,0.22788,0.16227,0.29473
12.2,12.2,0.22762,0.16268,0.29403
12.3,12.3,0.22735,0.16312,0.29332
12.4,12.4,0.22708,0.16355,0.29228
12.5,12.5,0.2268,0.16395,0.29162
12.6,12.6,0.22652,0.16424,0.29096
12.7,12.7,0.22624,0.16441,0.29008
12.8,12.8,0.22595,0.16453,0.28907
12.9,12.9,0.22565,0.16485,0.288
13,13,0.22535,0.16525,0.28692
13.1,13.1,0.22505,0.16555,0.28585
13.2,13.2,0.22474,0.16571,0.28477
13.3,13.3,0.22442,0.16588,0.28369
13.4,13.4,0.2241,0.16626,0.28275
13.5,13.5,0.22378,0.16643,0.28189
13.6,13.6,0.22345,0.16663,0.28102
13.7,13.7,0.22312,0.16686,0.28016
13.8,13.8,0.22278,0.16708,0.27931
13.9,13.9,0.22244,0.1673,0.2785
14,14,0.22209,0.16749,0.27765
14.1,14.1,0.22174,0.16772,0.27684
14.2,14.2,0.22138,0.16791,0.27602
14.3,14.3,0.22102,0.1681,0.2752
14.4,14.4,0.22065,0.16829,0.274
14.5,14.5,0.22028,0.16846,0.27309
14.6,14.6,0.2199,0.16863,0.27224
14.7,14.7,0.21952,0.16889,0.27143
14.8,14.8,0.21913,0.16903,0.27043
14.9,14.9,0.21874,0.16941,0.26962
15,15,0.21835,0.16972,0.26897
15.1,15.1,0.21795,0.16993,0.26804
15.2,15.2,0.21754,0.17048,0.26694
15.3,15.3,0.21713,0.17075,0.26585
15.4,15.4,0.21671,0.17066,0.26492
15.5,15.5,0.21629,0.17036,0.26395
15.6,15.6,0.21587,0.17005,0.26307
15.7,15.7,0.21544,0.17,0.26224
15.8,15.8,0.215,0.17008,0.26151
