Age,Age_Showing,Normative_variability,CI_low,CI_high
-0.2,32 week,0.0090188,0.0086277,0.0094415
-0.1,36 week,0.0090077,0.0086201,0.0094248
0,0,0.0089968,0.0086119,0.0094074
0.1,0.1,0.008986,0.008604,0.0093908
0.2,0.2,0.0089754,0.0085967,0.0093759
0.3,0.3,0.0089649,0.0085921,0.0093592
0.4,0.4,0.0089546,0.0085865,0.0093428
0.5,0.5,0.0089444,0.00858,0.0093265
0.6,0.6,0.0089343,0.0085737,0.0093112
0.7,0.7,0.0089244,0.0085675,0.0092972
0.8,0.8,0.0089147,0.0085608,0.0092835
0.9,0.9,0.008905,0.0085542,0.0092691
1,1,0.0088956,0.0085494,0.0092546
1.1,1.1,0.0088862,0.0085436,0.009239
1.2,1.2,0.0088771,0.0085379,0.0092231
1.3,1.3,0.008868,0.0085324,0.0092073
1.4,1.4,0.0088591,0.0085269,0.0091932
1.5,1.5,0.0088503,0.0085215,0.0091808
1.6,1.6,0.0088417,0.0085163,0.0091672
1.7,1.7,0.0088332,0.0085112,0.0091522
1.8,1.8,0.0088248,0.0085061,0.0091381
1.9,1.9,0.0088166,0.0085009,0.009126
2,2,0.0088085,0.0084961,0.0091141
2.1,2.1,0.0088005,0.0084916,0.0091024
2.2,2.2,0.0087927,0.0084866,0.0090909
2.3,2.3,0.008785,0.0084815,0.0090795
2.4,2.4,0.0087774,0.0084765,0.0090682
2.5,2.5,0.00877,0.0084715,0.0090572
2.6,2.6,0.0087627,0.0084667,0.0090461
2.7,2.7,0.0087555,0.0084621,0.0090355
2.8,2.8,0.0087485,0.0084575,0.0090233
2.9,2.9,0.0087415,0.0084543,0.0090117
3,3,0.0087347,0.0084498,0.0090014
3.1,3.1,0.0087281,0.0084463,0.0089918
3.2,3.2,0.0087215,0.0084437,0.0089812
3.3,3.3,0.0087151,0.0084398,0.0089708
3.4,3.4,0.0087088,0.0084369,0.0089605
3.5,3.5,0.0087026,0.008434,0.0089503
3.6,3.6,0.0086966,0.0084301,0.0089411
3.7,3.7,0.0086907,0.0084274,0.0089324
3.8,3.8,0.0086849,0.0084258,0.0089222
3.9,3.9,0.0086792,0.0084235,0.0089117
4,4,0.0086736,0.0084211,0.0089032
4.1,4.1,0.0086682,0.0084176,0.0088929
4.2,4.2,0.0086628,0.0084137,0.0088838
4.3,4.3,0.0086576,0.0084099,0.0088749
4.4,4.4,0.0086525,0.0084068,0.0088667
4.5,4.5,0.0086476,0.0084048,0.0088583
4.6,4.6,0.0086427,0.0084026,0.0088506
4.7,4.7,0.0086379,0.008399,0.0088431
4.8,4.8,0.0086333,0.0083979,0.0088357
4.9,4.9,0.0086288,0.008397,0.0088284
5,5,0.0086244,0.0083963,0.0088217
5.1,5.1,0.0086201,0.0083948,0.0088143
5.2,5.2,0.0086159,0.0083929,0.0088075
5.3,5.3,0.0086119,0.0083911,0.0088008
5.4,5.4,0.0086079,0.0083894,0.0087947
5.5,5.5,0.0086041,0.0083882,0.008789
5.6,5.6,0.0086004,0.0083863,0.0087827
5.7,5.7,0.0085967,0.0083848,0.0087775
5.8,5.8,0.0085932,0.0083835,0.0087733
5.9,5.9,0.0085898,0.0083832,0.0087666
6,6,0.0085865,0.0083831,0.0087596
6.1,6.1,0.0085833,0.008383,0.0087534
6.2,6.2,0.0085803,0.0083821,0.0087479
6.3,6.3,0.0085773,0.0083811,0.0087425
6.4,6.4,0.0085744,0.0083803,0.0087379
6.5,6.5,0.0085717,0.0083798,0.0087321
6.6,6.6,0.008569,0.008379,0.0087268
6.7,6.7,0.0085665,0.0083785,0.0087212
6.8,6.8,0.008564,0.0083785,0.0087168
6.9,6.9,0.0085617,0.0083786,0.0087129
7,7,0.0085594,0.0083786,0.0087086
7.1,7.1,0.0085573,0.0083771,0.0087042
7.2,7.2,0.0085553,0.008376,0.0086996
7.3,7.3,0.0085533,0.0083758,0.0086957
7.4,7.4,0.0085515,0.0083757,0.0086919
7.5,7.5,0.0085498,0.0083756,0.0086869
7.6,7.6,0.0085481,0.0083757,0.0086825
7.7,7.7,0.0085466,0.0083758,0.0086788
7.8,7.8,0.0085452,0.0083753,0.0086761
7.9,7.9,0.0085438,0.0083746,0.0086732
8,8,0.0085426,0.008374,0.0086696
8.1,8.1,0.0085415,0.0083735,0.0086653
8.2,8.2,0.0085404,0.0083731,0.0086613
8.3,8.3,0.0085395,0.0083728,0.0086589
8.4,8.4,0.0085386,0.0083713,0.0086574
8.5,8.5,0.0085379,0.0083705,0.0086546
8.6,8.6,0.0085372,0.00837,0.0086526
8.7,8.7,0.0085367,0.008371,0.0086506
8.8,8.8,0.0085362,0.0083714,0.0086482
8.9,8.9,0.0085359,0.0083726,0.008645
9,9,0.0085356,0.0083737,0.0086425
9.1,9.1,0.0085354,0.0083747,0.0086404
9.2,9.2,0.0085353,0.0083753,0.0086392
9.3,9.3,0.0085353,0.0083757,0.008638
9.4,9.4,0.0085354,0.0083759,0.0086367
9.5,9.5,0.0085356,0.0083768,0.0086351
9.6,9.6,0.0085359,0.0083779,0.0086346
9.7,9.7,0.0085363,0.0083788,0.0086338
9.8,9.8,0.0085367,0.0083804,0.0086345
9.9,9.9,0.0085373,0.0083824,0.0086354
10,10,0.0085379,0.0083845,0.0086349
10.1,10.1,0.0085387,0.0083867,0.0086339
10.2,10.2,0.0085395,0.0083877,0.0086315
10.3,10.3,0.0085404,0.0083908,0.0086327
10.4,10.4,0.0085414,0.0083934,0.0086328
10.5,10.5,0.0085425,0.0083934,0.0086329
10.6,10.6,0.0085437,0.0083936,0.0086327
10.7,10.7,0.0085449,0.0083941,0.0086332
10.8,10.8,0.0085463,0.0083962,0.0086344
10.9,10.9,0.0085477,0.0083983,0.0086348
11,11,0.0085493,0.0084005,0.0086361
11.1,11.1,0.0085509,0.0084028,0.0086372
11.2,11.2,0.0085526,0.0084052,0.0086389
11.3,11.3,0.0085543,0.0084075,0.00864
11.4,11.4,0.0085562,0.0084087,0.0086407
11.5,11.5,0.0085582,0.0084104,0.0086418
11.6,11.6,0.0085602,0.0084134,0.0086435
11.7,11.7,0.0085623,0.0084169,0.0086443
11.8,11.8,0.0085645,0.0084201,0.0086453
11.9,11.9,0.0085668,0.0084235,0.0086472
12,12,0.0085692,0.0084252,0.0086487
12.1,12.1,0.0085716,0.0084265,0.0086502
12.2,12.2,0.0085742,0.0084276,0.0086538
12.3,12.3,0.0085768,0.0084298,0.0086549
12.4,12.4,0.0085795,0.0084323,0.0086578
12.5,12.5,0.0085823,0.0084361,0.0086612
12.6,12.6,0.0085851,0.0084384,0.0086625
12.7,12.7,0.0085881,0.0084422,0.0086649
12.8,12.8,0.0085911,0.0084464,0.0086678
12.9,12.9,0.0085942,0.0084499,0.0086709
13,13,0.0085974,0.0084523,0.0086741
13.1,13.1,0.0086006,0.0084553,0.0086774
13.2,13.2,0.008604,0.0084582,0.0086812
13.3,13.3,0.0086074,0.0084625,0.008686
13.4,13.4,0.0086109,0.0084667,0.0086908
13.5,13.5,0.0086144,0.00847,0.0086936
13.6,13.6,0.0086181,0.0084738,0.0086963
13.7,13.7,0.0086218,0.008477,0.0086997
13.8,13.8,0.0086256,0.0084802,0.0087055
13.9,13.9,0.0086295,0.0084833,0.0087095
14,14,0.0086335,0.0084865,0.0087128
14.1,14.1,0.0086375,0.0084895,0.0087161
14.2,14.2,0.0086416,0.0084928,0.0087203
14.3,14.3,0.0086458,0.0084965,0.0087247
14.4,14.4,0.0086501,0.0085006,0.0087291
14.5,14.5,0.0086544,0.0085043,0.0087324
14.6,14.6,0.0086588,0.0085069,0.0087371
14.7,14.7,0.0086633,0.0085104,0.0087419
14.8,14.8,0.0086678,0.0085141,0.008746
14.9,14.9,0.0086725,0.008518,0.0087516
15,15,0.0086772,0.0085215,0.008757
15.1,15.1,0.008682,0.0085261,0.0087624
15.2,15.2,0.0086868,0.0085309,0.0087679
15.3,15.3,0.0086917,0.0085358,0.0087728
15.4,15.4,0.0086967,0.0085408,0.0087785
15.5,15.5,0.0087018,0.0085453,0.0087832
15.6,15.6,0.0087069,0.0085492,0.0087881
15.7,15.7,0.0087121,0.0085532,0.0087934
15.8,15.8,0.0087174,0.0085586,0.008799
15.9,15.9,0.0087228,0.0085641,0.0088048
16,16,0.0087282,0.0085697,0.0088103
16.1,16.1,0.0087337,0.0085751,0.0088161
16.2,16.2,0.0087393,0.0085798,0.0088219
16.3,16.3,0.0087449,0.0085843,0.0088282
16.4,16.4,0.0087506,0.0085893,0.0088341
16.5,16.5,0.0087564,0.008594,0.0088405
16.6,16.6,0.0087622,0.008599,0.0088465
16.7,16.7,0.0087681,0.0086043,0.0088528
16.8,16.8,0.0087741,0.0086106,0.0088583
16.9,16.9,0.0087801,0.0086171,0.0088646
17,17,0.0087862,0.0086223,0.0088711
17.1,17.1,0.0087924,0.0086269,0.0088786
17.2,17.2,0.0087987,0.0086318,0.0088861
17.3,17.3,0.008805,0.0086383,0.0088929
17.4,17.4,0.0088114,0.0086451,0.0088998
17.5,17.5,0.0088178,0.0086515,0.0089067
17.6,17.6,0.0088243,0.0086575,0.0089138
17.7,17.7,0.0088309,0.0086635,0.0089208
17.8,17.8,0.0088375,0.0086696,0.0089284
17.9,17.9,0.0088443,0.0086759,0.0089358
18,18,0.008851,0.0086821,0.008943
18.1,18.1,0.0088579,0.0086884,0.0089505
18.2,18.2,0.0088648,0.0086948,0.0089581
18.3,18.3,0.0088717,0.0087013,0.0089657
18.4,18.4,0.0088788,0.0087078,0.0089729
18.5,18.5,0.0088859,0.0087145,0.0089796
18.6,18.6,0.008893,0.0087217,0.0089871
18.7,18.7,0.0089002,0.0087279,0.0089948
18.8,18.8,0.0089075,0.0087348,0.0090032
18.9,18.9,0.0089148,0.0087417,0.0090112
19,19,0.0089223,0.0087487,0.0090189
19.1,19.1,0.0089297,0.0087554,0.0090272
19.2,19.2,0.0089373,0.0087619,0.0090355
19.3,19.3,0.0089448,0.0087687,0.0090439
19.4,19.4,0.0089525,0.0087764,0.0090518
19.5,19.5,0.0089602,0.0087842,0.0090596
19.6,19.6,0.008968,0.008792,0.0090688
19.7,19.7,0.0089758,0.0087995,0.0090778
19.8,19.8,0.0089837,0.0088069,0.0090863
19.9,19.9,0.0089916,0.0088141,0.0090948
20,20,0.0089997,0.0088213,0.0091033
20.1,20.1,0.0090077,0.0088286,0.0091117
20.2,20.2,0.0090159,0.0088365,0.0091208
20.3,20.3,0.009024,0.0088445,0.00913
20.4,20.4,0.0090323,0.0088527,0.0091391
20.5,20.5,0.0090406,0.0088606,0.0091482
20.6,20.6,0.0090489,0.0088688,0.009157
20.7,20.7,0.0090574,0.0088774,0.0091653
20.8,20.8,0.0090658,0.008886,0.0091734
20.9,20.9,0.0090744,0.0088943,0.0091822
21,21,0.009083,0.0089026,0.0091912
21.1,21.1,0.0090916,0.0089109,0.0092004
21.2,21.2,0.0091003,0.0089192,0.0092096
21.3,21.3,0.009109,0.0089279,0.0092188
21.4,21.4,0.0091179,0.0089363,0.0092281
21.5,21.5,0.0091267,0.0089451,0.0092375
21.6,21.6,0.0091356,0.0089538,0.0092468
21.7,21.7,0.0091446,0.0089627,0.0092562
21.8,21.8,0.0091536,0.0089715,0.0092652
21.9,21.9,0.0091627,0.0089804,0.0092747
